ID,max_area_m2,min_area_m2,N_images
ID110921825428458,172300,111500,6
ID111823768561045,40600,32200,6
ID112098646467178,36400,31100,6
ID112403589145871,28000,10100,6
ID112708531824048,151200,86300,6
ID114027086783823,156100,86900,6
ID116071491217031,26700,2100,6
ID116131620759474,258000,256200,6
ID116204635203233,122900,46800,6
ID116956254479789,25500,15000,6
ID117359981405719,53100,44900,6
ID117639154280100,31000,27600,6
ID117664924083576,68100,30500,6
ID117772298266410,12400,7200,6
ID118072945975429,63300,30100,6
ID118291989309147,47400,44800,6
ID118605521920312,9200,6700,6
ID118665651463853,244800,192100,6
ID118678536364180,47200,26800,6
ID118725781005881,23700,20300,6
ID118858924991935,12600,8900,6
ID120430883021524,22100,6000,6
ID120589796812386,80900,68500,6
ID132899173082132,31900,29300,6
ID133040907002949,18700,8800,6
ID134879153005443,10600,9600,6
ID111866718234021,13100,9600,5
ID112639812347154,86200,85900,5
ID113777978680913,47800,36700,5
ID115341346776677,36000,18800,5
ID116402203698704,27900,19100,5
ID116831700428559,35000,9800,5
ID117591909639897,141300,50100,5
ID117772298266051,201100,81200,5
ID118661356495279,45700,44400,5
ID118807385384689,26200,19100,5
ID118897579696425,35400,11800,5
ID119365731132882,24400,6000,5
ID119662083875305,14700,4800,5
ID121637768832622,14800,9200,5
ID122415157913177,61300,4500,5
ID128415227223877,22900,17300,5
ID132383777006575,13400,6800,5
ID132525510927529,11300,4800,5
ID111471581241971,22200,18300,4
ID111583250392374,25700,16800,4
ID113043539273034,34100,18800,4
ID113125143651650,98700,60900,4
ID113576115217783,35700,14400,4
ID116097261020667,5400,5400,4
ID116123030824651,23800,14800,4
ID116535347685081,44200,12600,4
ID116539642652219,84000,71000,4
ID116685671540263,26400,24300,4
ID116818815526713,31100,13400,4
ID116909009839537,11800,3200,4
ID117007794087372,14700,5000,4
ID117020678989205,8600,4400,4
ID117278377027103,97600,20100,4
ID117561844868091,126000,112200,4
ID117647744214045,61900,61900,4
ID117716463691095,9100,8100,4
ID117742233493956,30000,9300,4
ID117793773102591,57600,56700,4
ID117815247938917,12600,12400,4
ID117823837872619,31800,26100,4
ID117823837873607,184200,152300,4
ID117845312710212,41500,31600,4
ID117862492579317,103200,18700,4
ID118068651008471,53800,21400,4
ID118218974864438,11600,2600,4
ID118322054078612,59800,54900,4
ID118360708785745,31500,23400,4
ID118489557803266,111900,105900,4
ID118738665907840,59800,14400,4
ID118880399828375,90100,27600,4
ID118893284730316,21300,16100,4
ID118992068978357,47800,21200,4
ID119065083420919,5200,4700,4
ID119095148193436,12200,9800,4
ID120396523284099,91600,44900,4
ID120508192433604,14600,13000,4
ID121912646739546,18300,15400,4
ID122101625300629,132200,33100,4
ID132473971319866,16900,6200,4
